Italian,english,
e,and,
non,non,
che,that,
di,of,
la,the,
il,the,
un,and,
a,a,
per,per,
è,and,
in,in,
una,a,
mi,me,
sono,i am,
ho,to,
l',l',
si,and,
ha,ha,
ma,and,
lo,it,
cosa,what,
con,with,
no,no,
le,the,
ti,of,
se,with,
da,and,
i,i,
come,come,
io,this,
ci,there,
hai,two,
questo,this,
bene,well,
qui,who,
sei,be,
del,of the,
tu,that,
solo,alone,
mio,my,
al,al,
me,me,
tutto,all,
c',c',
te,the,
era,era,
della,from the,
mia,my,
fatto,done,
fare,do,
essere,to be,
so,so,
quando,when,
sì,yes,
ora,no,
lei,law,
gli,the,
ne,it is,
oh,oh,
questa,this,
detto,said,
ok,ok,
va,and,
perche,why,
quello,that,
mai,may,
alla,at the,
o,the,
anche,also,
stato,state,
abbiamo,we have,
tutti,everyone,
dei,of the,
grazie,thank you,
chi,spend,
sta,they are,
molto,very,
più,more,
voglio,i want,
perché,why,
tuo,that,
beh,well,
sia,is,
nel,in the,
lui,his,
allora,at that time,
posso,i can,
piu,more,
ehi,cow,
prima,before,
tua,old,
suo,his,
niente,nothing,
qualcosa,something,
sai,until,
siamo,we are,
un',and',
cosi,like this,
davvero,really,
ancora,still,
hanno,they have,
stai,you are,
fa,but,
sua,your,
così,like this,
casa,home,
uno,a,
dove,where,
su,are,
vero,true , 
vuoi,you want,
noi,us,
due,due,
quindi,therefore,
dire,say,
d',d',
delle,from the,
quella,that,
sempre,always,
altro,other,
sto,what,
andare,go,
ad,ad,
po,after,
loro,they,
devo,i have to,
quel,that,
forse,perhaps,
li,that,
proprio,own,
certo,right,
tempo,time,
nella,in the,
poi,then,
vi,we,
credo,i believe,
vita,life,
cose,things,
sul,on the,
quanto,how much,
puoi,you can,
fuori,out,
anni,years,
cui,which,
andiamo,let's go,
dell',of the,
parte,part,
visto,view,
qualcuno,someone,
all',all',
lavoro,work,
voi,oh,
ciao,hi,
dio,part,
volta,time,
dopo,after,
adesso,now,
stata,was,
uomo,man,
padre,father,
devi,devi,
bisogno,need,
gia,family,
amico,friend,
ed,ed,
posto,place,
nessuno,nobody,
via,via,
cos',cos',
fai,do,
signore,gentleman,
meglio,better,
cazzo,fuck,
dai,come on,
dal,from the,
vuole,wants,
sembra,it seems,
giorno,day,
ogni,everything is fine,
modo,way,
senza,without,
vedere,view,
dobbiamo,we have to,
signor,mr,
qualche,some,
dispiace,sorry,
penso,i think,
ecco,here you are,
parlare,speak,
tra,between,
mamma,mother,
già,already,
sarebbe,would be,
dalla,from the,
troppo,too,
fosse,is,
possiamo,we can,
ce,this,
nuovo,new,
male,male,
madre,mother,
avete,you have,
tanto,both,
favore,favor,
successo,success,
vai,or,
sulla,on the,
giusto,right,
sa,on,
miei,my,
aspetta,wait,
avere,have,
altra,other,
farlo,do it,
alle,at,
facendo,doing,
abbia,have,
momento,moment,
ero,device,
aveva,i had,
ragazzi,boys,
deve,he must,
persone,people,
nostro,our,
tipo,type,
prego,nail,
grande,big,
può,can,
senti,felt,
appena,as soon as,
potrebbe,could be,
soldi,money,
dice,dice,
sapere,know,
tre,three,
oggi,today,
questi,these,
piace,pleases,
idea,idea,
siete,seven,
ai,eat,
avevo,i had,
figlio,son,
accordo,agreement,
gente,people,
sicuro,safe,
vieni,alone,
degli,of the,
guarda,guard,
dentro,inside,
trovato,found,
queste,these,
caso,case,
forza,force,
dov',dov',
tutte,all,
pensi,you think,
signora,lady,
faccio,i do,
nome,name,
avuto,had,
problema,problem,
altri,others,
puo,speech,
aver,have,
mondo,world,
tutta,all,
preso,taken ,
nulla,nothing,
nostra,our,
donna,donna,
stare,stare,
basta,it just is,
insieme,together,
faccia,face,
ragazza,lass,
subito,right away,
famiglia,family,
ragazzo,lad,
volevo,i wanted,
okay,okay,
sentito,sense,
ah,ah,
stesso,same,
ragione,reason,
sarà,will be,
tuoi,yours,
capito,understood,
notte,night,
volte,times,
testa,head,
serve,serve,
tesoro,treasure,
sotto,under,
eh,eh,
suoi,his,
vado,i go,
sara,sara,
dato,given,
stiamo,we are,
bella,bella,
scusa,excuse me,
erano,they were,
pensavo,i thought,
avrei,i would have,
prendere,take,
buona,good,
porta,brings,
bello,handsome,
moglie,wife,
vorrei,i would like,
storia,history,
succede,happens,
morto,died,
cercando,looking,
dici,you say,
persona,person,
pronto,ready,
meno,less,
dovuto,due,
avanti,after you,
capisco,i understand,
secondo,second,
venire,come,
polizia,police,
lì,there,
avrebbe,would have,
stanno,they are,
mentre,while,
letto,bed,
fino,until,
dico,i say,
amici,friends,
fine,fine,
aiuto,help,
paura,fear,
fratello,brother,
stavo,i was,
uomini,men,
nell',in the',
domani,tomorrow,
facciamo,we do,
abbastanza,enough,
capo,boss,
amore,love,
nei,in the,
ucciso,killed,
state,state,
piano,piano,
macchina,machine,
trovare,find,
comunque,anyway,
vediamo,we see,
giorni,days,
nemmeno,neither,
mano,thousand,
dall',from,
presto,soon,
stati,states,
merda,shit,
far,far,
bambino,child,
andato,left,
vedo,i see,
tornare,return,
quelle,those,
cio,cio,
primo,first,
vostro,your,
neanche,not even,
sera,will be,
giro,tour,
morte,death,
e',and',
qua,via,
pensato,thought,
buon,good,
anno,year,
mie,my,
diavolo,devil,
quasi,almost,
piacere,pleasure,
bel,bel,
dovrei,i should,
nessun,no,
contro,against,
stessa,itself,
felice,happy,
colpa,guilt,
punto,point,
andata,gone,
dovrebbe,should,
vedi,you see,
quale,which,
chiesto,asked,
invece,instead,
perchè,why,
migliore,improve,
nostri,our,
finito,finished,
figlia,daughter,
dovresti,you should,
papa,table,
almeno,at least,
sento,i feel,
quei,those,
col,col,
ore,ore,
passato,past,
magari,perhaps,
minuti,minutes,
terra,earth,
vostra,yours,
strada,street,
sola,alone,
credi,believe,
importante,important,
sue,sue,
salve,salve,
settimana,week,
perso,lost,
uscire,go out,
parlato,spoke,
papà,pope,
stasera,this evening,
scusi,excuse me,
dollari,dollars,
occhi,eyes,
mani,me,
ultima,last,
possibile,possible,
scuola,school,
significa,means,
sapevo,i knew,
nelle,in,
potrei,i could,
stava,was,
bambini,children,
eri,different,
importa,matter,
indietro,backwards,
riesco,i am able to,
sangue,blood,
chiama,call,
messo,put in order,
piccolo,small,
traduzione,translation,
tardi,late,
cuore,heart,
marito,husband,
viene,he comes,
venuto,came,
ieri,yesterday,
spero,i hope,
ricordi,memories,
quelli,those,
dovremmo,we should,
lasciato,left,
ascolta,listen,
difficile,difficult,
quell',that,
auto,auto,
chiamato,called,
ciò,that is,
altre,other,
parlando,speaking,
pensare,think,
fantastico,fantastic,
fatta,done,
numero,number,
veramente,truly,
fanno,they do,
com',with',
serio,serious,
possa,can,
fossi,i was,
entrare,enter,
anch',too,
qualsiasi,any,
